Anio,ObjetivoEstrategico,DescripcionObjetivoEstrategico,CodigoIndicador,NombreIndicador,DescripcionGeneral,ObjetivoIndicador,Formula,Periodicidad,Responsable,MetaCodigo,MetaEtiqueta,MetaValor,ValorActual,Unidad,DireccionMeta,FechaActualizacion,Fuente,Estado
2025,Gestión Eficiente,"Desarrollar una gestión eficiente de los procesos, el conocimiento y la información del CECP para el cumplimiento de los fines misionales de la Universidad y su normativa interna.",1,Normativa y procedimientos del CECP ajustados y aplicados,Avance en el ajuste y aplicación de la normativa y procedimientos clave del CECP...,Verificar el ajuste y aplicación de la normativa...,(Normas ajustadas / Normas totales) x 100,Anual,Gestor Educación Continua,M1,Cumplimiento,80%,80%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Gestión Eficiente,"Desarrollar una gestión eficiente de los procesos, el conocimiento y la información del CECP para el cumplimiento de los fines misionales de la Universidad y su normativa interna.",2,Equipo formado y capacitado,Cobertura de integrantes del Equipo formados y capacitados en la normativa...,Garantizar la apropiación de la normativa por parte del equipo,(Asistentes únicos / Total equipo) x 100,Anual,Gestor Educación Continua - Equipo CECP,M1,Cumplimiento,75%,90%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Gestión Eficiente,"Desarrollar una gestión eficiente de los procesos, el conocimiento y la información del CECP para el cumplimiento de los fines misionales de la Universidad y su normativa interna.",3,Sistema de Gestión Educativa (SGE) creado,Ejecución del proyecto de plataforma educativa interna,Lograr la puesta en funcionamiento del SGE,(Módulos implementados / Módulos planificados) x 100,Trimestral,Gestor de Plataformas - Equipo CECP,M1,Cumplimiento,100%,100%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Gestión Eficiente,"Desarrollar una gestión eficiente de los procesos, el conocimiento y la información del CECP para el cumplimiento de los fines misionales de la Universidad y su normativa interna.",5,Impacto social - Bienestar del equipo del CECP,Percepción del equipo sobre la utilidad de las mejoras implementadas...,Medir el bienestar derivado de la mejora de la normativa...,Promedio de respuestas (1-5),Anual,Gestor Educación Continua - Equipo CECP,M1,Cumplimiento,4,No se aplico,,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Oferta Pertinente,"Fortalecer la gestión de oportunidades y el diseño de una oferta pertinente, sostenible y de alta calidad académica, a partir de la identificación de capacidades, fortalezas y acumulados de la comunidad académica y la delimitación de las tendencias del mercado, los retos del territorio y las necesidades de los sectores.",6,Oportunidades validadas,Mide cuántos hallazgos de mercado se incorporan al portafolio...,Asegurar la calidad de la prospección: ideas relevantes...,(Oportunidades útiles / Hallazgos de mercado) x 100,Mensual,"Gestores Oportunidades, Contenidos Comerciales y Gestora de Idiomas",M1,Cumplimiento,60%,97%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Oferta Pertinente,"Fortalecer la gestión de oportunidades y el diseño de una oferta pertinente, sostenible y de alta calidad académica, a partir de la identificación de capacidades, fortalezas y acumulados de la comunidad académica y la delimitación de las tendencias del mercado, los retos del territorio y las necesidades de los sectores.",7,Conversión a programas o proyectos ejecutados,Oportunidades útiles que se vuelven programas o proyectos ejecutados...,Incrementar la efectividad del diseño curricular...,(Programas ejecutados / Oportunidades Útiles) x 100,Mensual,"Gestores Oportunidades, Contenidos Comerciales y Gestora de Idiomas",M1,Oferta abierta,50%,36%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Oferta Pertinente,"Fortalecer la gestión de oportunidades y el diseño de una oferta pertinente, sostenible y de alta calidad académica, a partir de la identificación de capacidades, fortalezas y acumulados de la comunidad académica y la delimitación de las tendencias del mercado, los retos del territorio y las necesidades de los sectores.",7,Conversión a programas o proyectos ejecutados,Oportunidades útiles que se vuelven programas o proyectos ejecutados...,Incrementar la efectividad del diseño curricular...,(Programas ejecutados / Oportunidades Útiles) x 100,Mensual,"Gestores Oportunidades, Contenidos Comerciales y Gestora de Idiomas",M2,Oferta cerrada,10%,19%,%,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Oferta Pertinente,"Fortalecer la gestión de oportunidades y el diseño de una oferta pertinente, sostenible y de alta calidad académica, a partir de la identificación de capacidades, fortalezas y acumulados de la comunidad académica y la delimitación de las tendencias del mercado, los retos del territorio y las necesidades de los sectores.",10,Sostenibilidad financiera,Programas y proyectos que alcanzan punto de equilibrio...,Garantizar la viabilidad económica de los programas...,(Programas con utilidad ≥20% / Programas ejecutados) x 100,Anual,"Gestores Oportunidades, Contenidos Comerciales, Gestora de Idiomas y Gestora Administrativa",M1,Cumplimiento,70%,"83,8%",%,mayor_igual,03/12/2025,Migración formato 2025,Activo
2025,Articulación Institucional,"Promover la articulación institucional para el fortalecimiento de la educación continua y permanente, a través de la dinamización de escenarios de encuentro para la formulación y ejecución de programas co-creados.",8,Nuevas alianzas estratégicas establecidas,Mide la capacidad para establecer convenios o acuerdos de colaboración...,Evaluar el fortalecimiento del relacionamiento institucional,Σ de alianzas nuevas establecidas,Anual,Equipo Gestor y CECP,M1,Cumplimiento,6,7,,mayor_igual,14/03/2026,Migración formato 2025,Activo
2025,Articulación Institucional,"Promover la articulación institucional para el fortalecimiento de la educación continua y permanente, a través de la dinamización de escenarios de encuentro para la formulación y ejecución de programas co-creados.",9,Porcentaje de programas diseñados en articulación,Proporción de programas construidos conjuntamente con unidades académicas o aliados...,Incentivar el trabajo colaborativo para fortalecer la pertinencia académica,(Programas con aliados / Programas ofertados) x 100,Mensual,"Gestores Oportunidades, Contenidos Comerciales y Gestora de Idiomas",M1,Cumplimiento,50%,32%,%,mayor_igual,12/12/2025,Migración formato 2025,Activo
